kernel,executable_status,correctness,problem,raised_us,resident_cuda_us,raised_over_resident,baseline,statistic,hardware,notes
aten_conv_tbc_cpu,EXECUTED,PASS,T=4096 B=16 I=32 O=64 K=3,5367.219200,—,—,cuDNN TransformTensor plus ConvolutionForward,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,expanded-submap whole TBC composition revalidated 2026-09-05; errors=0 max_error=5.72205e-06; mapped host-pointer GPU execution
aten_transform_bias_rescale_qkv_cpu,EXECUTED,PASS,B=8 S=512 H=16 D=64 (12582912 source elements),2522.108800,—,—,three cuDNN OpTensor add stages,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,expanded-submap three-stage QKV slice plus bias plus BSHD-to-BHSD transform revalidated 2026-09-05; errors=0 max_error=0; Q scale folded into alpha
aten_addr_elementwise,EXECUTED,PASS,N=8388608 beta=0 alpha=0.75,12629.187280,—,—,cuDNN cached pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,full beta-zero shortcut graph alpha*x*y; zero errors
aten_addr_elementwise,EXECUTED,PASS,N=8388608,21816.220800,—,—,cudnnAddrElementwise_f32_memref,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_log_sigmoid_cpu,EXECUTED,PASS,N=8388608,175506.979200,—,—,cudnnLogSigmoid_f32_memref,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_softplus,EXECUTED,PASS,N=8388608 beta=1.25 threshold=0.5,8733.343970,—,—,cuDNN Backend pointwise graph,warm mean of 10 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,generic nine-node graph active; both threshold paths exercised; max error 8.9407e-08
aten_nested_sum_dim_cpu,EXECUTED,PASS,rows=65536 cols=128 irregular lengths,11916.352539,—,—,CUB DeviceSegmentedReduce with per-row end offsets,warm mean of 5 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 CUB,full length-bounded segmented sum; zero errors
aten_nested_all_cpu,EXECUTED,PASS,rows=65536 cols=128 irregular lengths,12831.706055,—,—,CUB DeviceSegmentedReduce logical AND with per-row end offsets,warm mean of 5 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 CUB,full length-bounded segmented all; zero errors
aten_sum_cpu_backend,EXECUTED,PASS,R=16 K=64,1.270400,—,—,cubSegmentedSum_f32_memref,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_min_values_cpu,EXECUTED,PASS,R=32 K=64,8.313600,—,—,cubSegmentedMin_f32_memref,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_max_values_cpu,EXECUTED,PASS,R=32 K=64,8.361600,—,—,cubSegmentedMax_f32_memref,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_xor_sum_cpu,EXECUTED,PASS,rows=65536 cols=128,11875.987305,—,—,CUB DeviceSegmentedReduce bitwise XOR,warm mean of 5 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 CUB,full fixed-width row XOR; zero errors
aten_conv_transpose3d_cpu,EXECUTED,PASS,C=8 O=16 D=32 H=32 W=32 K=3,55289.977600,—,—,cuDNN ConvolutionBackwardData ND,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,expanded-submap whole 3D transposed convolution revalidated 2026-09-05 with FMA math; errors=0 max_error=2.28882e-05; mapped host-pointer GPU execution
aten_slow_conv3d_backward_input_cpu,EXECUTED,PASS,C=8 O=16 D=32 H=32 W=32 K=3,31632.323200,—,—,cuDNN ConvolutionBackwardData ND,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,expanded-submap whole slow-conv3d input gradient revalidated 2026-09-05 with FMA math; errors=0 max_error=2.67029e-05; mapped host-pointer GPU execution
aten_conv_transpose3d_grad_weight_cpu,EXECUTED,PASS,C=8 O=16 D=32 H=32 W=32 K=3,12560.739200,—,—,cuDNN ConvolutionBackwardFilter ND,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,expanded-submap whole transposed-convolution filter gradient revalidated 2026-09-05 with FMA math; errors=0 max_error=0.00254059; reordered semantic operands
aten_slow_conv3d_backward_weight_cpu,EXECUTED,PASS,C=8 O=16 D=32 H=32 W=32 K=3,16694.035200,—,—,cuDNN ConvolutionBackwardFilter ND,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,expanded-submap whole slow-conv3d filter gradient revalidated 2026-09-05 with FMA math; errors=0 max_error=0; mapped host-pointer GPU execution
aten_conv_tbc_backward_cpu,EXECUTED,PASS,T=4094 B=16 I=32 O=64 K=3,18283.571200,—,—,cuDNN TransformTensor plus ConvolutionBackwardData plus TransformTensor,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,expanded-submap whole TBC input gradient revalidated 2026-09-05 with FMA math; errors=0 max_error=3.05176e-05; mapped host-pointer GPU execution
aten_sort_cpu,EXECUTED,PASS,rows=32768 cols=256,171052.859375,—,—,CUB DeviceSegmentedRadixSort SortPairsDescending,warm mean of 5 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 CUB,8.39M elements; all values and stable original indices checked including ties; zero errors
aten_topk_cpu,EXECUTED,PASS,rows=32768 cols=256 top=16,147537.656250,—,—,CUB segmented descending radix sort plus prefix gather,warm mean of 5 calls after 3 warmups,Jetson Orin sm87 MAXN CUDA 12.6 CUB,all top-k values and stable original indices checked including ties; zero errors
aten_segment_reduce_lengths_cpu,EXECUTED,PASS,N=8388358 segments=65536,9689.906250,—,—,CUB variable-offset DeviceSegmentedReduce,warm mean across sum mean max and min modes after 3 warmups each,Jetson Orin sm87 MAXN CUDA 12.6 CUB,all four modes and all segment outputs checked; zero errors; maximum absolute error 7.15256e-07
aten_bilinear_cpu,EXECUTED,PASS,B=8 I=16 J=20 O=24,116.534400,—,—,cutensornetNetwork_f32_n3_aten,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_trilinear_cpu,EXECUTED,PASS,B=8 I=16 J=20 K=24,115.299200,—,—,cutensornetNetwork_f32_n3_aten,median of 3 process warm means; 10 timed calls/process,Jetson Orin sm87 MAXN CUDA 12.6,current matcher and lowering revalidated 2026-09-05; zero errors; mapped host-pointer GPU execution
aten_sparse_addmv_csr_cpu,EXECUTED,PASS,R=65536 C=65536 N=4194304,6599.436799,991.200001,6.658027,cusparseSpMV_CSR_f32_memref,median of 3 process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuSPARSE,complete tensorized affine/scf CSR reduction recognized as fixed cuSPARSE SpMV; host and device-resident paths errors=0 max_error=4.76837e-06
aten_sparse_csr_addmm_cpu,EXECUTED,PASS,R=65536 K=65536 C=64 N=4194304,34844.960000,16970.464001,2.053271,cusparseSpMM_CSR_f32_memref,median of 3 process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuSPARSE,complete tensorized affine/scf CSR matrix-dense matrix reduction recognized as fixed cuSPARSE SpMM; host and device-resident paths errors=0 max_error=2.86102e-06
aten_sparse_addmm_cpu,EXECUTED,PASS,R=64 C=4096 N=4096,2061.603200,351.135998,5.871239,cusparseSpMM_COO_f32_memref,median of 3 process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuSPARSE,complete Linalg zero-fill plus tensorized affine COO matrix-dense update recognized as fixed cuSPARSE SpMM; host and device-resident paths errors=0 max_error=6.67572e-06
aten_hspmm_cpu,EXECUTED,PASS,R=64 C=4096 N=4096,2057.155200,353.312000,5.822489,cusparseSpMM_COO_f32_memref,median of 3 process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuSPARSE,complete Linalg zero-fill plus tensorized affine COO matrix-dense update recognized as fixed cuSPARSE SpMM; host and device-resident paths errors=0 max_error=6.67572e-06
aten_sparse_addmv_bsr_cpu,EXECUTED,PASS,R=4096 C=4096 BR=4 BC=4 N=262144,2748.441600,2260.832001,1.215677,cusparseSpMM_BSR_f32_memref,median of 3 process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuSPARSE,complete structured square-BSR block reduction recognized as cuSPARSE BSR SpMM with a one-column dense operand; host and device-resident paths errors=0 max_error=0
aten_sampled_addmm_sparse_csr_cpu,EXECUTED,PASS,R=4096 K=512 C=4096 NNZ=262144,53650.092800,19264.608002,2.784904,cusparseSDDMM_CSR_f32_memref,median of 3 process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuSPARSE,complete affine/scf CSR traversal plus Linalg dot reduction and alpha-beta epilogue recognized as fixed cuSPARSE SDDMM; host and device-resident paths errors=0 max_error=2.86102e-05
aten_convert_coo_to_csr_cpu,EXECUTED,PASS,N=4194304 R=65536,993.958400,963.743999,1.031351,cusparseXcoo2csr_i32_memref,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuSPARSE,complete sorted COO row-index traversal recognized as fixed cuSPARSE COO-to-CSR conversion; host and device-resident paths errors=0 max_error=0
aten_sparse_coo_to_csr_cpu,EXECUTED,PASS,N=4194304 R=65536,956.457600,574.591999,1.664586,cusparseXcoo2csr_i32_memref,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuSPARSE,complete sorted COO row-index traversal recognized as fixed cuSPARSE COO-to-CSR conversion; host and device-resident paths errors=0 max_error=0
aten_convert_csr_to_coo_cpu,EXECUTED,PASS,N=4194304 R=65536,1282.480000,856.863998,1.496714,cusparseXcsr2coo_i32_memref,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuSPARSE,complete CSR row-offset traversal recognized as fixed cuSPARSE CSR-to-COO row-index conversion; host and device-resident paths errors=0 max_error=0
aten_sparse_matmul_csr_to_coo_cpu,EXECUTED,PASS,N=4194304 R=65536,1290.659201,846.688000,1.524362,cusparseXcsr2coo_i32_memref,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuSPARSE,complete CSR row-offset traversal recognized as fixed cuSPARSE CSR-to-COO row-index conversion; host and device-resident paths errors=0 max_error=0
aten_quant_col_offsets_cpu,EXECUTED,PASS,K=1048576 N=48,19265.692801,6488.127998,2.969376,cubQuantColOffsets_i8_i32_memref,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 CUB,complete three-Linalg signed-i8 column reduction plus zero-point offset recognized as CUB DeviceSegmentedReduce with a transform iterator; host and device-resident paths errors=0 max_error=0
aten_diff_cpu,EXECUTED,PASS,N=16777216,27680.828801,6678.464001,4.144786,cubAdjacentDifference_f32_memref,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 CUB,complete shifted-slice subtraction recognized as CUB DeviceAdjacentDifference SubtractLeftCopy plus boundary-eliding runtime copy; host and device-resident paths errors=0 max_error=0
aten_embedding_bag_counts_cpu,EXECUTED,PASS,N=16777216 E=65536,21047.926400,7761.439999,2.711858,cubHistogramEvenI32ShiftZero_memref,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 CUB,complete zero-fill plus tensor-carried indirect count recognized as bounded CUB DeviceHistogram; host and device-resident paths errors=0 max_error=0
aten_upsample_bilinear2d,EXECUTED,PASS,B=4096 C=3 H=4 W=4,6388.454400,5472.800003,1.167310,cudnnBilinearUpsample2x_f32_r4,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuDNN,complete aligned 2x half-pixel edge-clamped interpolation recognized as cuDNN Backend ResampleFwd; NCHW channel planes are legally presented as one-channel NHWC images; host and device-resident paths errors=0 max_error=1.19209e-07
aten_compressed_block_convert_cpu,EXECUTED,PASS,R=2048 C=2048 BR=4 BC=4,2071.513601,2047.680000,1.011639,cutensorPermute_f32_r4_tensor,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 cuTENSOR,complete dense-to-block-major layout transform recognized as rank-4 cuTENSOR mode permutation over a zero-copy strided reshape; host and device-resident paths errors=0 max_error=0
aten_nansum_cpu,EXECUTED,PASS,R=131072 K=64,15751.030400,6562.591999,2.400123,cubSegmentedNanSum_f32_memref,median of 5 sequential process warm means and resident best-of-20 timings,Jetson Orin sm87 MAXN CUDA 12.6 CUB,complete zero-fill plus NaN-filtered row reduction recognized as CUB DeviceSegmentedReduce with a transform iterator; host and device-resident paths errors=0 max_error=7.62939e-06
